2019-03-08 14:27:03.885 [main] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2019-03-08 14:27:03.887 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2019-03-08 14:27:03.890 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-03-08 14:27:03.893 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1552026423892 with initial instances count: 0
2019-03-08 14:27:03.935 [main] INFO  com.netflix.eureka.DefaultEurekaServerContext - Initializing ...
2019-03-08 14:27:03.936 [main] INFO  com.netflix.eureka.cluster.PeerEurekaNodes - Adding new peer nodes [http://eureka1:8761/eureka/]
2019-03-08 14:27:03.941 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2019-03-08 14:27:03.942 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2019-03-08 14:27:03.942 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2019-03-08 14:27:03.942 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2019-03-08 14:27:04.025 [main] INFO  com.netflix.eureka.cluster.PeerEurekaNodes - Replica node URL:  http://eureka1:8761/eureka/
2019-03-08 14:27:04.036 [main] INFO  c.netflix.eureka.registry.AbstractInstanceRegistry - Finished initializing remote region registries. All known remote regions: []
2019-03-08 14:27:04.038 [main] INFO  com.netflix.eureka.DefaultEurekaServerContext - Initialized
2019-03-08 14:27:04.058 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-03-08 14:27:04.227 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application EUREKA-PROVIDER with eureka with status UP
2019-03-08 14:27:04.236 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1552026424228, current=UP, previous=STARTING]
2019-03-08 14:27:04.284 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_EUREKA-PROVIDER/DESKTOP-GFT4G5U:eureka-provider:9090: registering service...
2019-03-08 14:27:04.356 [Thread-13] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Setting the eureka configuration..
2019-03-08 14:27:04.371 [Thread-13] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Eureka data center value eureka.datacenter is not set, defaulting to default
2019-03-08 14:27:04.372 [Thread-13] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Eureka environment value eureka.environment is not set, defaulting to test
2019-03-08 14:27:04.374 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2019-03-08 14:27:04.684 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2019-03-08 14:27:04.693 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9090
2019-03-08 14:27:04.700 [main] INFO  c.i.z.eureka_provider.EurekaProviderApplication - Started EurekaProviderApplication in 11.586 seconds (JVM running for 12.467)
2019-03-08 14:27:04.719 [Thread-13] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - isAws returned false
2019-03-08 14:27:04.720 [Thread-13] INFO  o.s.c.netflix.eureka.server.EurekaServerBootstrap - Initialized server context
2019-03-08 14:27:04.834 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_EUREKA-PROVIDER/DESKTOP-GFT4G5U:eureka-provider:9090 - registration status: 204
